,,Total Verses,Reading 1,vss,Reading 2,vss,Reading 3,vss,Reading 4,vss,,,,,,,,,,,,,,,
70,3/10/16,55,Exodus 11:1-10,10,Mark 9:30-50,21,Psalm 34:1-22,22,Proverbs 13:17-18,2,,,,,,,,,,,,,,,
71,3/11/16,64,Exodus 12:1-28,28,Mark 10:1-34,34,,,Proverbs 13:19-20,2,,,,,,,,,,,,,,,
72,3/12/16,62,Exodus 12:29-42,14,Mark 10:35-52,18,Psalm 35:1-28,28,Proverbs 13:21-22,2,,,,,,,,,,,,,,,
73,3/13/16,47,Exodus 12:43-13:2,11,Mark 11:1-33,33,,,Proverbs 13:23-25,3,,,,,,,,,,,,,,,
74,3/14/16,62,Exodus 13:3-22,20,Mark 12:1-27,27,Psalm 36:1-12,12,Proverbs 14:1-3,3,,,,,,,,,,,,,,,
75,3/15/16,61,Exodus 14:1-31,31,Mark 12:28-37,10,Psalm 37:1-19,19,Proverbs 14:4,1,,,,,,,,,,,,,,,
76,3/16/16,56,Exodus 15:1-27,27,Mark 12:38-44,6,Psalm 37:20-40,21,Proverbs 14:5-6,2,,,,,,,,,,,,,,,
77,3/17/16,65,Exodus 16:1-36,36,Mark 13:1-27,27,,,Proverbs 14:7-8,2,,,,,,,,,,,,,,,
78,3/18/16,48,Exodus 16:1-36,36,Mark 13:28-37,10,,,Proverbs 14:9-10,2,,,,,,,,,,,,,,,
79,3/19/16,65,Exodus 17:1-16,16,Mark 14:1-25,25,Psalm 38:1-22,22,Proverbs 14:11-12,2,,,,,,,,,,,,,,,
80,3/20/16,60,Exodus 18:1-27,27,Mark 14:26-42,17,Psalm 39:1-13,13,Proverbs 14:13-15,3,,,,,,,,,,,,,,,
81,3/21/16,62,Exodus 19:1-20:26,51,Mark 14:43-52,10,,,Proverbs 14:16,1,,,,,,,,,,,,,,,
82,3/22/16,57,Exodus 21:1-36,36,Mark 14:53-72,19,,,Proverbs 14:17-18,2,,,,,,,,,,,,,,,
83,3/23/16,65,Exodus 22:1-31,31,Mark 15:1-15,15,Psalm 40:1-17,17,Proverbs 14:19-20,2,,,,,,,,,,,,,,,
84,3/24/16,64,Exodus 23:1-32,32,Mark 15:16-32,17,Psalm 41:1-13,13,Proverbs 14:21-22,2,,,,,,,,,,,,,,,
85,3/25/16,68,Exodus 24:1-18,18,Mark 15:33-16:20,36,Psalm 42:1-11,11,Proverbs 14:23-25,3,,,,,,,,,,,,,,,
86,3/26/16,59,Exodus 25:1-40,40,John 1:1-18,18,,,Proverbs 14:26,1,,,,,,,,,,,,,,,
87,3/27/16,68,Exodus 26:1-37,37,John 1:19-42,24,Psalm 43:1-5,5,Proverbs 14:27-28,2,,,,,,,,,,,,,,,
88,3/28/16,58,Exodus 27:1-21,21,John 1:43:51,9,Psalm 44:1-26,26,Proverbs 14:29-30,2,,,,,,,,,,,,,,,
89,3/29/16,67,Exodus 28:1-43,43,John 2:1-22,22,,,Proverbs 14:31-32,2,,,,,,,,,,,,,,,
90,3/30/16,67,Exodus 29:1-46,46,John 2:23-3:15,18,,,Proverbs 14:33-35,3,,,,,,,,,,,,,,,
91,3/31/16,61,Exodus 30:1-38,38,John 3:16-36,21,,,Proverbs 15:1-2,2,,,,,,,,,,,,,,,
92,4/1/16,65,Exodus 31:1-18,18,John 4:1-45,45,,,Proverbs 15:3-4,2,,,,,,,,,,,,,,,
93,4/2/16,63,Exodus 32:1-35,35,John 4:46-54,9,Psalm 45:1-17,17,Proverbs 15:5-6,2,,,,,,,,,,,,,,,
94,4/3/16,65,Exodus 33:1-23,23,John 5:1-29,29,Psalm 46:1-11,11,Proverbs 15:7-8,2,,,,,,,,,,,,,,,
95,4/4/16,54,Exodus 34:1-35,35,John 5:30-46,17,,,Proverbs 15:9-10,2,,,,,,,,,,,,,,,
96,4/5/16,67,Exodus 35:1-35,35,John 6:1-21,21,Psalm 47:1-9,9,Proverbs 15:11-12,2,,,,,,,,,,,,,,,
97,4/6/16,61,Exodus 36:1-38,40,John 6:22-40,19,,,Proverbs 15:13-14,2,,,,,,,,,,,,,,,
98,4/7/16,63,Exodus 37:1-29,29,John 6:41-59,18,Psalm 48:1-14,14,Proverbs 15:15-16,2,,,,,,,,,,,,,,,
99,4/8/16,65,Exodus 38:1-31,31,John 6:60-71,12,Psalm 49:1-20,20,Proverbs 15:17-18,2,,,,,,,,,,,,,,,
100,4/9/16,57,Exodus 39:1-31,31,John 7:1-24,24,,,Proverbs 15:19-20,2,,,,,,,,,,,,,,,
101,4/10/16,64,Exodus 39:32-43,12,John 7:25-52,27,Psalm 50:1-23,23,Proverbs 15:21-22,2,,,,,,,,,,,,,,,
102,4/11/16,52,Exodus 40:1-38,38,John 7:53-8:11,12,,,Proverbs 15:23-24,2,,,,,,,,,,,,,,,
103,4/12/16,62,Leviticus 1:1-2:16,33,John 8:12-38,27,,,Proverbs 15:25-26,2,,,,,,,,,,,,,,,
104,4/13/16,59,Leviticus 3:1-17,17,John 8:39-59,21,Psalm 51:1-19,19,Proverbs 15:27-28,2,,,,,,,,,,,,,,,
105,4/14/16,60,Leviticus 4:1-35,35,John 9:1-23,23,,,Proverbs 15:29-30,2,,,,,,,,,,,,,,,
106,4/15/16,60,Leviticus 5:1-30,30,John 9:24-41,18,Psalm 52:1-9,9,Proverbs 15:31-33,3,,,,,,,,,,,,,,,
107,4/16/16,53,Leviticus 6:1-30,30,John 10:1-21,21,,,Proverbs 16:1-2,2,,,,,,,,,,,,,,,
108,4/17/16,67,Leviticus 7:1-38,38,John 10:22-42,21,Psalm 53:1-6,6,Proverbs 16:3-4,2,,,,,,,,,,,,,,,
109,4/18/16,65,Leviticus 8:1-36,36,John 11:1-27,27,,,Proverbs 16:5-6,2,,,,,,,,,,,,,,,
110,4/19/16,63,Leviticus 9:1-24,24,John 11:28-57,30,Psalm 54:1-7,7,Proverbs 16:7-8,2,,,,,,,,,,,,,,,
111,4/20/16,64,Leviticus 10:1-20,20,John 12:1-19,19,Psalm 55:1-23,23,Proverbs 16:9-10,2,,,,,,,,,,,,,,,
112,4/21/16,66,Leviticus 11:1-47,47,John 12:20-36,17,,,Proverbs 16:11-12,2,,,,,,,,,,,,,,,
113,4/22/16,52,Leviticus 12:1-13:28,36,John 12:37-50,14,,,Proverbs 16:13-14,2,,,,,,,,,,,,,,,
114,4/23/16,65,Leviticus 13:29-59,30,John 13:1-20,20,Psalm 56:1-13,13,Proverbs 16:15-16,2,,,,,,,,,,,,,,,
115,4/24/16,52,Leviticus 14:1-32,32,John 13:21-38,18,,,Proverbs 16:17-18,2,,,,,,,,,,,,,,,
116,4/25/16,52,Leviticus 14:33-57,25,John 14:1-14,14,Psalm 57:1-11,11,Proverbs 16:19-20,2,,,,,,,,,,,,,,,
117,4/26/16,52,Leviticus 15:1-33,33,John 14:15-31,17,,,Proverbs 16:21-22,2,,,,,,,,,,,,,,,
118,4/27/16,64,Leviticus 16:1-34,34,John 15:1-17,17,Psalm 58:1-11,11,Proverbs 16:23-24,2,,,,,,,,,,,,,,,
119,4/28/16,60,Leviticus 17:1-16,16,John 15:18-16:33,42,,,Proverbs 16:25-26,2,,,,,,,,,,,,,,,
120,4/29/16,58,Leviticus 18:1-30,30,John 17:1-26,26,,,Proverbs 16:27-28,2,,,,,,,,,,,,,,,
121,4/30/16,61,Leviticus 19:1-18,18,John 18:1-24,24,Psalm 59:1-17,17,Proverbs 16:29-30,2,,,,,,,,,,,,,,,
122,5/1/16,62,Leviticus 19:19-37,39,John 18:25-32,8,Psalm 60:1-12,12,Proverbs 16:31-33,3,,,,,,,,,,,,,,,
123,5/2/16,56,Leviticus 20:1-27,27,John 18:33-19:11,19,Psalm 61:1-8,8,Proverbs 17:1-2,2,,,,,,,,,,,,,,,
124,5/3/16,57,Leviticus 21:1-24,24,John 19:12-42,31,,,Proverbs 17:3-4,2,,,,,,,,,,,,,,,
125,5/4/16,49,Leviticus 22:1-16,16,John 20:1-31,31,,,Proverbs 17:5-6,2,,,,,,,,,,,,,,,
126,5/5/16,56,Leviticus 22:17-33,17,John 21:1-25,25,Psalm 62:1-12,12,Proverbs 17:7-8,2,,,,,,,,,,,,,,,
127,5/6/16,62,Leviticus 23:1-22,22,Luke 1:1-38,38,,,Proverbs 17:9-10,2,,,,,,,,,,,,,,,
128,5/7/16,52,Leviticus 23:23-44,22,Luke 1:39-56,17,Psalm 63:1-11,11,Proverbs 17:11-12,2,,,,,,,,,,,,,,,
129,5/8/16,56,Leviticus 24:1-23,23,Luke 1:57-2:7,31,,,Proverbs 17:13-14,2,,,,,,,,,,,,,,,
130,5/9/16,65,Leviticus 25:1-22,22,Luke 2:8-38,31,Psalm 64:1-10,10,Proverbs 17:15-16,2,,,,,,,,,,,,,,,
131,5/10/16,62,Leviticus 25:23-55,33,Luke 2:39-52,14,Psalm 65:1-13,13,Proverbs 17:17-18,2,,,,,,,,,,,,,,,
132,5/11/16,53,Leviticus 26:1-13,13,Luke 3:1-38,38,,,Proverbs 17:19-20,2,,,,,,,,,,,,,,,
133,5/12/16,65,Leviticus 26:14-46,33,Luke 4:1-30,30,,,Proverbs 17:21-22,2,,,,,,,,,,,,,,,
134,5/13/16,63,Leviticus 27:1-34,34,Luke 4:31-37,7,Psalm 66:1-20,20,Proverbs 17:23-24,2,,,,,,,,,,,,,,,
135,5/14/16,66,Numbers 1:1-19,19,Luke 4:38-5:39,45,,,Proverbs 17:25-26,2,,,,,,,,,,,,,,,
136,5/15/16,62,Numbers 1:20-46,27,Luke 6:1-26,26,Psalm 67:1-7,7,Proverbs 17:27-28,2,,,,,,,,,,,,,,,
137,5/16/16,60,Numbers 1:47-54,8,Luke 6:27-7:17,50,,,Proverbs 18:1-2,2,,,,,,,,,,,,,,,
138,5/17/16,63,Numbers 2:1-34,34,Luke 7:18-50,27,,,Proverbs 18:3-4,2,,,,,,,,,,,,,,,
139,5/18/16,62,Numbers 3:1-39,39,Luke 8:1-21,21,,,Proverbs 18:5-6,2,,,,,,,,,,,,,,,
140,5/19/16,56,Numbers 3:40-4:20,32,Luke 8:22-25,4,Psalm 68:1-18,18,Proverbs 18:7-8,2,,,,,,,,,,,,,,,
141,5/20/16,62,Numbers 4:21-49,29,Luke 8:26-39,14,Psalm 68:19-35,17,Proverbs 18:9-10,2,,,,,,,,,,,,,,,
142,5/21/16,67,Numbers 5:1-31,31,Luke 8:40-9:17,34,,,Proverbs 18:11-12,2,,,,,,,,,,,,,,,
143,5/22/16,62,Numbers 6:1-27,27,Luke 9:18-50,33,,,Proverbs 18:13-14,2,,,,,,,,,,,,,,,
144,5/23/16,64,Numbers 7:1-23,23,Luke 9:51-10:12,24,Psalm 69:1-15,15,Proverbs 18:15-16,2,,,,,,,,,,,,,,,
145,5/24/16,59,Numbers 7:24-47,24,Luke 10:13-24,12,Psalm 69:16-36,21,Proverbs 18:17-18,2,,,,,,,,,,,,,,,
146,5/25/16,56,Numbers 7:48-65,18,Luke 10:25-11:13,31,Psalm 70:1-5,5,Proverbs 18:19-20,2,,,,,,,,,,,,,,,
147,5/26/16,67,Numbers 7:66-89,24,Luke 11:14-54,41,,,Proverbs 18:21-22,2,,,,,,,,,,,,,,,
148,5/27/16,64,Numbers 8:1-26,26,Luke 12:1-12,12,Psalm 71:1-24,24,Proverbs 18:23-24,2,,,,,,,,,,,,,,,
149,5/28/16,67,Numbers 9:1-23,23,Luke 12:13-34,22,Psalm 72:1-20,20,Proverbs 19:1-2,2,,,,,,,,,,,,,,,
150,5/29/16,63,Numbers 10:1-36,36,Luke 12:35-59,25,,,Proverbs 19:3-4,2,,,,,,,,,,,,,,,
151,5/30/16,52,Numbers 11:1-15,15,Luke 13:1-35,35,,,Proverbs 19:5-6,2,,,,,,,,,,,,,,,
152,5/31/16,60,Numbers 11:16-35,20,Luke 14:1-11,11,Psalm 73:1-28,28,Proverbs 19:7,1,,,,,,,,,,,,,,,
153,6/1/16,64,Numbers 12:1-16,16,Luke 14:12-35,24,Psalm 74:1-23,23,Proverbs 19:8,1,,,,,,,,,,,,,,,
154,6/2/16,66,Numbers 13:1-33,33,Luke 15:1-32,32,,,Proverbs 19:9,1,,,,,,,,,,,,,,,
155,6/3/16,61,Numbers 14:1-19,19,Luke 16:1-17:10,41,,,Proverbs 19:10,1,,,,,,,,,,,,,,,
156,6/4/16,64,Numbers 14:20-45,26,Luke 17:11-37,27,Psalm 75:1-10,10,Proverbs 19:11,1,,,,,,,,,,,,,,,
157,6/5/16,65,Numbers 15:1-21,21,Luke 18:1-43,43,,,Proverbs 19:12,1,,,,,,,,,,,,,,,
158,6/6/16,60,Numbers 15:22-41,20,Luke 19:1-27,27,Psalm 76:1-12,12,Proverbs 19:13,1,,,,,,,,,,,,,,,
159,6/7/16,64,Numbers 16:1-50,50,Luke 19:28-40,13,,,Proverbs 19:14,1,,,,,,,,,,,,,,,
160,6/8/16,60,Numbers 17:1-13,13,Luke 19:41-20:18,26,Psalm 77:1-20,20,Proverbs 19:15,1,,,,,,,,,,,,,,,
161,6/9/16,65,Numbers 18:1-32,32,Luke 20:19-47,29,,,Proverbs 19:16-19,4,,,,,,,,,,,,,,,
162,6/10/16,68,Numbers 19:1-22,22,Luke 21:1-38,38,Psalm 78:1-8,8,,,,,,,,,,,,,,,,,
163,6/11/16,69,Numbers 20:1-13,13,Luke 22:1-34,34,Psalm 78:9-31,22,,,,,,,,,,,,,,,,,
164,6/12/16,68,Numbers 20:14-29,16,Luke 22:35-62,28,Psalm 78:32-55,24,,,,,,,,,,,,,,,,,
165,6/13/16,62,Numbers 21:1-35,35,Luke 22:63-71,9,Psalm 78:56-72,17,Proverbs 19:20,1,,,,,,,,,,,,,,,
166,6/14/16,59,Numbers 22:1-41,41,Luke 23:1-17,17,,,Proverbs 19:21,1,,,,,,,,,,,,,,,
167,6/15/16,63,Numbers 23:1-30,30,Luke 23:18-49,32,,,Proverbs 19:22,1,,,,,,,,,,,,,,,
168,6/16/16,58,Numbers 24:1-25,25,Luke 23:50-24:12,19,Psalm 79:1-13,13,Proverbs 19:23,1,,,,,,,,,,,,,,,
169,6/17/16,62,Numbers 25:1-18,18,Luke 24:13-35,23,Psalm 80:1-19,19,Proverbs 19:24-25,2,,,,,,,,,,,,,,,
170,6/18/16,69,Numbers 26:1-51,51,Luke 24:36-53,18,,,,,,,,,,,,,,,,,,,
171,6/19/16,57,Numbers 26:52-65,14,Acts 1:1-26,26,Psalm 81:1-16,16,Proverbs 19:26,1,,,,,,,,,,,,,,,
172,6/20/16,65,Numbers 27:1-23,23,Acts 2:1-41,41,,,Proverbs 19:27,1,,,,,,,,,,,,,,,
173,6/21/16,56,Numbers 28:1-31,31,Acts 2:42-3:10,16,Psalm 82:1-8,8,Proverbs 19:28,1,,,,,,,,,,,,,,,
174,6/22/16,57,Numbers 29:1-40,40,Acts 3:11-26,16,,,Proverbs 19:29,1,,,,,,,,,,,,,,,
175,6/23/16,66,Numbers 30:1-16,16,Acts 4:1-31,31,Psalm 83:1-18,18,Proverbs 20:1,1,,,,,,,,,,,,,,,
176,6/24/16,61,Numbers 31:1-54,54,Acts 4:32-37,6,,,Proverbs 20:2,1,,,,,,,,,,,,,,,
177,6/25/16,66,Numbers 32:1-42,42,Acts 5:1-11,11,Psalm 84:1-12,12,Proverbs 20:3,1,,,,,,,,,,,,,,,
178,6/26/16,55,Numbers 33:1-49,49,Acts 5:12-16,5,,,Proverbs 20:4,1,,,,,,,,,,,,,,,
179,6/27/16,54,Numbers 33:50-56,7,Acts 5:17-6:7,33,Psalm 85:1-13,13,Proverbs 20:5,1,,,,,,,,,,,,,,,
180,6/28/16,54,Numbers 34:1-29,29,Acts 6:8-15,7,Psalm 86:1-17,17,Proverbs 20:6,1,,,,,,,,,,,,,,,
181,6/29/16,61,,,Acts 7:1-60,60,,,Proverbs 20:7,1,,,,,,,,,,,,,,,
182,6/30/16,63,Numbers 35:1-36:1-13,47,Acts 8:1-8,8,Psalm 87:1-7,7,Proverbs 20:8,1,,,,,,,,,,,,,,,
183,7/1/16,63,Deuteronomy 1:1-46,46,Acts 8:9-25,16,,,Proverbs 20:9,1,,,,,,,,,,,,,,,
184,7/2/16,53,Deuteronomy 2:1-37,37,Acts 8:26-40,15,,,Proverbs 20:10,1,,,,,,,,,,,,,,,
185,7/3/16,67,Deuteronomy 3:1-29,29,Acts 9:1-19,19,Psalm 88:1-18,18,Proverbs 20:11,1,,,,,,,,,,,,,,,
186,7/4/16,48,Deuteronomy 4:1-31,31,Acts 9:20-35,16,,,Proverbs 20:12,1,,,,,,,,,,,,,,,
187,7/5/16,35,Deuteronomy 4:32-49,18,Acts 9:36-10:8,16,,,Proverbs 20:13,1,,,,,,,,,,,,,,,
188,7/6/16,59,Deuteronomy 5:1-33,33,Acts 10:9-33,25,,,Proverbs 20:14,1,,,,,,,,,,,,,,,
189,7/7/16,59,Deuteronomy 6:1-25,25,Acts 10:34-48,15,Psalm 89:1-18,18,Proverbs 20:15,1,,,,,,,,,,,,,,,
190,7/8/16,63,Deuteronomy 7:1-26,26,Acts 11:1-18,18,Psalm 89:19-37,18,Proverbs 20:16,1,,,,,,,,,,,,,,,
191,7/9/16,54,Deuteronomy 8:1-9:6,26,Acts 11:19-30,12,Psalm 89:38-52,15,Proverbs 20:17,1,,,,,,,,,,,,,,,
192,7/10/16,68,Deuteronomy 9:7-10:22,45,Acts 12:1-5,5,Psalm 90:1-17,17,Proverbs 20:18,1,,,,,,,,,,,,,,,
193,7/11/16,63,Deuteronomy 11:1-32,32,Acts 12:6-19,14,Psalm 91:1-16,16,Proverbs 20:19,1,,,,,,,,,,,,,,,
194,7/12/16,66,Deuteronomy 12:1-32,32,Acts 12:20-13:12,18,Psalm 92:1-15,15,Proverbs 20:20,1,,,,,,,,,,,,,,,
