Week,Day,OT 1,OT 2,Gospels/Acts/Proverbs,Letters,Psalms
,Wed,2 Samuel 13,Daniel 2,Acts 15,Hebrews 10,
,Thu,2 Samuel 14,Daniel 3,Acts 16,,Psalm 119
,Fri,2 Samuel 15-16,Daniel 4,Acts 17,Hebrews 11,
,Sat,2 Samuel 17-18,Daniel 5-6,Acts 18,,Psalm 119
42,Sun,,,,,
,Mon,2 Samuel 19,Daniel 7,Acts 19,Hebrews 12,
,Tue,2 Samuel 20-21,Daniel 8,Acts 20,,Psalm 120
,Wed,2 Samuel 22,Daniel 9,Acts 21,Hebrews 13,
,Thu,2 Samuel 23,Daniel 10,Acts 22,,Psalm 121
,Fri,2 Samuel 24,Daniel 11,Acts 23,1 John 1,
,Sat,,Daniel 12,Acts 24,,Psalm 122
43,Sun,,,,,
,Mon,1 Kings 1-2,,Acts 25,1 John 2,
,Tue,1 Kings 3-4,Ezekiel 1,Acts 26,,Psalm 123
,Wed,1 Kings 5,Ezekiel 2,Acts 27,1 John 3,
,Thu,1 Kings 6,Ezekiel 3,Acts 28,,Psalm 124
,Fri,1 Kings 7,Ezekiel 4,,1 John 4,
,Sat,1 Kings 8,Ezekiel 5,,,Psalm 125
44,Sun,,,,,
,Mon,1 Kings 9-11,Ezekiel 6-7,John 1,1 John 5,
,Tue,1 Kings 12,Ezekiel 8,John 2,,Psalm 126
,Wed,1 Kings 13,Ezekiel 9,John 3,2 John 1,
,Thu,1 Kings 14,Ezekiel 10,John 4,,Psalm 127
,Fri,1 Kings 15,Ezekiel 11,John 5,3 John 1,
,Sat,1 Kings 16,Ezekiel 12,John 6,,Psalm 128
45,Sun,,,,,
,Mon,1 Kings 17-18,Ezekiel 13-14,John 7,Revelation 1,
,Tue,1 Kings 19,Ezekiel 15,John 8,,Psalm 129
,Wed,1 Kings 20,Ezekiel 16,John 9,Revelation 2,
,Thu,1 Kings 21,Ezekiel 17,John 10,,Psalm 130
,Fri,1 Kings 22,Ezekiel 18,John 11,Revelation 3,
,Sat,2 Kings 1-2,Ezekiel 19,John 12,,Psalm 131
46,Sun,,,,,
,Mon,2 Kings 3,Ezekiel 20-21,John 13,Revelation 4,
,Tue,2 Kings 4,Ezekiel 22,John 14,,Psalm 132
,Wed,2 Kings 5,Ezekiel 23,John 15,Revelation 5,
,Thu,2 Kings 6,Ezekiel 24,John 16,,Psalm 133
,Fri,2 Kings 7,Ezekiel 25,John 17,Revelation 6,
,Sat,2 Kings 8,Ezekiel 26-27,John 18,,Psalm 134
47,Sun,,,,,
,Mon,2 Kings 9-10,Ezekiel 28,John 19,Revelation 7,
,Tue,2 Kings 11,Ezekiel 29,John 20,,Psalm 135
,Wed,2 Kings 12,Ezekiel 30,John 21,Revelation 8,
,Thu,2 Kings 13,Ezekiel 31,,,Psalm 136
,Fri,2 Kings 14,Ezekiel 32,Proverbs 1,Revelation 9,
